商店名稱,類別1,類別2,地址,lon,lat,POI類別
磨豆花棧,美食佳餚,冰品店,,121.56858165723433,24.9870114477567,吃的
品勝企業社,美食佳餚,冰品店,,121.61673912127011,25.05424683319622,吃的
三一冰淇淋股份有限公司,美食佳餚,冰品店,,121.517057659167,25.047175930771427,吃的
三一冰淇淋股份有限公司,美食佳餚,冰品店,,121.56390404986902,25.034026198692768,吃的
中敦國際股份有限公司,美食佳餚,冰品店,,121.56837993405715,25.043995613617245,吃的
中敦國際股份有限公司,美食佳餚,冰品店,,121.56460398431076,25.033524181211988,吃的
中敦國際股份有限公司,美食佳餚,冰品店,,121.56025748241215,25.039513919582166,吃的
中美冰肊,美食佳餚,冰品店,,121.49284314838195,25.02747553732465,吃的
優果迷工作室,美食佳餚,冰品店,,121.55328517789884,25.039797525538233,吃的
元本味實業有限公司,美食佳餚,冰品店,,121.57804916724342,25.04628283594365,吃的
冰果王,美食佳餚,冰品店,,121.60142398736839,25.084608758456937,吃的
凡凡有限公司,美食佳餚,冰品店,,121.51365267764287,25.076068830270717,吃的
皇家可口股份有限公司,美食佳餚,冰品店,,121.46434409874503,25.011113895830142,吃的
台灣通用磨坊股份有限公司,美食佳餚,冰品店,,121.57947458770018,25.038022130484677,吃的
嘉義紅心粉圓,美食佳餚,冰品店,,121.59753421466222,25.067805222626337,吃的
因為愛情商號,美食佳餚,冰品店,,121.49834865233068,25.12088575726335,吃的
坤淇企業有限公司,美食佳餚,冰品店,,121.49834865233068,25.12088575726335,吃的
坤淇企業有限公司,美食佳餚,冰品店,,121.51582749794582,25.059893894566617,吃的
城中豆花,美食佳餚,冰品店,,121.53280922872266,25.014584713179023,吃的
天祥冰園,美食佳餚,冰品店,,121.57894715937714,25.080146377718044,吃的
太雄冰果行,美食佳餚,冰品店,,121.509359299204,25.0713756442016,吃的
忠孝飲品店,美食佳餚,冰品店,,121.51076685771494,25.071548651848133,吃的
密碼飲料店,美食佳餚,冰品店,,121.51359335385982,25.072238881709314,吃的
寶島冰果室,美食佳餚,冰品店,,121.51365267764287,25.076068830270717,吃的
巧登冰果店,美食佳餚,冰品店,,121.54230021853381,25.048190611238773,吃的
故宮晶華股份有限公司,美食佳餚,冰品店,,121.5346968043953,25.109734486900486,吃的
日光寒舍開發有限公司,美食佳餚,冰品店,,121.53020605588215,25.03262624750184,吃的
易水樓國際企業社,美食佳餚,冰品店,,121.51043951952568,25.04421005795643,吃的
杜老爺冰店,美食佳餚,冰品店,,121.52033183461883,25.052504807719075,吃的
東區粉圓冰店,美食佳餚,冰品店,,121.55265601559161,25.03950545280162,吃的
水龜伯古早味店,美食佳餚,冰品店,,121.53174644496035,25.04837629147886,吃的
游黃桂花,美食佳餚,冰品店,,121.54432867586594,25.054915251894,吃的
皇家可口股份有限公司,美食佳餚,冰品店,,121.52318753082646,25.08313846776287,吃的
皇家可口股份有限公司,美食佳餚,冰品店,,121.54855559402442,25.050231827459317,吃的
皇家可口股份有限公司,美食佳餚,冰品店,,121.56390404986902,25.034026198692768,吃的
皇家可口股份有限公司,美食佳餚,冰品店,,121.54580801752012,25.079572748607642,吃的
阿鴻豆花店,美食佳餚,冰品店,,121.5325117345575,25.0155463970746,吃的
好奇營養豆花,美食佳餚,冰品店,,121.52029572510338,25.054154201467227,吃的
8%ice 冰淇淋專門店,美食佳餚,冰品店,,121.50807333133776,25.03553481996023,吃的
雪王冰淇淋,美食佳餚,冰品店,,121.56112845732929,24.986490502846973,吃的
臺北牛乳大王企業有限公司,美食佳餚,冰品店,,121.53506590936313,25.053715912051384,吃的
２１６粉圓大王,美食佳餚,冰品店,,121.53144705284302,25.01725318789528,吃的
FRUPARA日式冰淇淋專賣店,美食佳餚,冰品店,,121.54312540434157,25.0395224665141,吃的
STEFANO史蒂凡諾義大利手工冰淇淋(台灣區總,美食佳餚,冰品店,,121.54488278286513,25.041902440183193,吃的
台灣冰樂園,美食佳餚,冰品店,,121.54303614536042,25.054463678379673,吃的
台灣貝氏堡股份有限公司,美食佳餚,冰品店,,121.56602091620927,25.035668091629304,吃的
基隆廟口沈家泡泡冰,美食佳餚,冰品店,,121.51704345228268,25.046064035686328,吃的
好茶園,美食佳餚,冰品店,,121.50779966167751,25.045238475968453,吃的
懷念愛玉冰,美食佳餚,冰品店,,121.5647991517544,25.027295638556758,吃的
明池豆花,美食佳餚,冰品店,,121.53286310115057,25.016814598991857,吃的
普泡泡,美食佳餚,冰品店,,121.50565788643934,25.044938798666156,吃的
王記冰果店,美食佳餚,冰品店,,121.56627377084762,25.03544917302853,吃的
615冰舖之紅豆媽,美食佳餚,冰品店,,121.56390404986902,25.034026198692768,吃的
ASTO義式多餐飲(大葉高島屋店),美食佳餚,冰品店,,121.53143820337071,25.111811057640736,吃的
CAPATINA冰淇淋(太平洋SOGO忠孝店),美食佳餚,冰品店,,121.56728010780411,25.036073362413028,吃的
coco erri,美食佳餚,冰品店,,121.52066354515104,25.052433271454667,吃的
COLD  STONE,美食佳餚,冰品店,,121.55780957486515,25.034561333946677,吃的
COLD STONE,美食佳餚,冰品店,,121.55318287574988,25.083263188492054,吃的
COLD STONE餐飲店,美食佳餚,冰品店,,121.52864721354509,25.02435282553801,吃的
COLDSTONE,美食佳餚,冰品店,,121.50550279484801,25.044485240036796,吃的
Do Do more,美食佳餚,冰品店,,121.52510492270856,25.088645540179478,吃的
FRANDO義大利冰淇淋(台北衣蝶店),美食佳餚,冰品店,,121.52936990955482,25.03125998213866,吃的
